source_tx_hash,source_address,bridge_kit_fee_circle_collected,bridge_kit_fee_dev_collected,destination_chain,source_amount_numeric
0x61a46c318fe0bc63f85c4ed402805c9a55dbf6c9b66b89140f57e85d59cb8b7b,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,3391.109920
0x9bdb60b5a8cad48dcb7f49e4e5444e5d156534eb18ce4a0d4dc98276ccaa977c,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,1663.721435
0x78a18315acde7545f1493bfc17e8f0036ca11fd48116a7e6211f12885e152720,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,9.382725
0xcd6599170e6ed5aa6f11c7720bf053d8d8a30b2530869059a7c67f0f0ae1c1ee,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,108.000000
0x0380450915de5ccf86f724b5c3cd213ab83ff19d20acaa2df0bbf7dcccd910fe,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,1498.798900
0x058776f4b55103d1e1ad20b112947ab811a571d7b0f2e326fd016150d5517a83,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,195.719380
0x9a85f5661c5ebc5263614fff85112a85555481a4d2fce37923e5f5804a00e7d3,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00059500000000000004274358644806852681,0.00535500000000000038469227803261674126,AVAX,118.994050
0x4600ddf37fc32c59426285d97bfb126f6e28d300e8b0687dce124adc5c01e6bf,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00011999999999999988106735848703010561,0.00108000000000000001380839886877538447,OP,23.998800
0x33bdec7af280c6a4245ab889a867e523a52842532fdb2bd02b31076e52411811,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00034499999999999982069898152303721872,0.00310500000000000012101430968414206291,ARB,68.996550
0xc347c5ae76ec3a86f12f47ebc4cb15a93f83db3af3e0f9a7462eede42558caf3,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00004600000000000003391731340229853231,0.00041899999999999999310967835342012222,ARB,9.299535
0x06550d783c85fa6439be90204fecc05018262754f358488e40c26797e31d75fb,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00035000000000000005065392549852276716,0.00315000000000000002220446049250313081,ARB,69.996500
0xf2cf39ae0af5bc9ea75d5563bfb30b5f40b3e5f5b39eef67bfc26e7e7f7145b9,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00033299999999999996269650637259474024,0.00300400000000000015967782651671313943,ARB,66.736663
0x68f54c994c8e7993a724e1fc8055c96aa92c344b1a38638dd207b681e76195f3,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.00000499999999999999956198232231585621,0.00004500000000000000283410447887710859,ARB,0.999950
0x252608639fa01e5426488470a9efa561d90024e2c0110c470f8d2795da69edc1,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,13100.008262
0x83906b32354e12381412762bbf4d48024aa7b8c8e9077ecc919b4b250dd7efd8,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,100.274912
0x7ca7be608e2ed037936d43fdc1d08050168a6d66b9bf8b81a7523f7dd37ea6d9,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,36.000000
0xa0c6bc27cd626cf2c5bf65d91ec64fa83b5549249bd9d604839de00ad94cd203,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,14.000000
0xbbca2b49996d12b24146076a60a61a5b6e2f04aaa67e671295d2447a7b5b1b30,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,120.265066
0x82a6abd5cda640a9a12332b7163bab22136ae38c186f42133b6467a084c72af8,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,38.500000
0x0de53573db92d94d773942f4a4f57c696d75d29126a68ef859ad7c142fca1416,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0.03020399999999995310773215351218823344,0.27183600000000002205879923167231027037,BASE,6040.515568
0xef63262408bd3a255da870973ac82e9e8d0231615a46e7be6fc6da9ea8da063a,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,700.000000
0x65cfdc8022c4c617a813a545f6d8178b535083894b50e59828d800695ceeb35c,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,299.800000
0xa6e099fda3d9f8c460b869a8f1acc4ea4ced3ae9ed6d2f5d74b821b7e16ffd01,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,209.289419
0x7e76da137742d11a22ceeb7d18994faccde2013be88f31450f0c9175347151b9,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,2199.341909
0xeca6f17aaf53b2c9db8aa7a601da64dbc1b15ad410657ec0ff8c85f187f774ac,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,43.000000
0x986e19ab74d65b95687342063a8b93b5b2b8e1b505e1e0a4be1642838afd3180,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,16.916000
0xee28032b6ed9b809ea52782da82462370a8b5d2066738a2aaf8cb0d6b0475495,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,1200.400000
0x5cddf72df6bf35980498709f7dc0a79251839e3a66863f5e3d378d61deac858a,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,333.000000
0x33a08bef1a18348263b831e93a65a4e99bde66ba6a2806e5cfdef7a2f672a1d9,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,4999.749202
0xfdc07267c36db39d2b87fb7da247f3b8c8c1116b95466b176db78e3772834a3a,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,1600.000000
0x33045dd672d81dd97bbc6e5c38401b3cd0f39939db20ee6e4b6c40a549410985,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,20.000000
0x4d2fd2d781cd30f801bac83fc808519b5e56a7b9213a9d93d2c46c861d1eb95c,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,299.900299
0xe6c80b727d79418c2f9e5f1ab9fd625a12865b9528e1223dc81851403483db12,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,100.000000
0x053412f536affdcf4e5a540f562ec9ffd62a447fb187bd676759ea72ee2f87f6,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,34.025782
0x8d7ef30257950a4d5b7058076f3ed304853cca5543db1d9c5ad72d7309fdefbc,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,13142.525519
0x4f8b5139756435b4e570cca7e1645920b916267c282fd050ba263feeb965636d,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,4300.000000
0xe128ecb61fb13ee1fbe150de19c093e58f74c4644c9ff55f79d348ff0bb87e6f,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,53.480522
0x8f7355a22efc93dbf50d47e3eccba3f2afac32130739592fdfd00fee36116c53,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,1000.000000
0xed29a9f4f482dfc7086b62b0edc494d9dab15640ad8aca6a86d9dece071d9144,0xb3fa262d0fb521cc93be83d87b322b8a23daf3f0,0E-38,0E-38,INK,9.817395
