bridge_kit_fee_dev_collected,bridge_kit_fee_circle_collected,dev_address,transaction_hash,amount_bridged,blockchain
,,0xd79713b123f33b69dc12c6bae13d85f70ce162c7,0x56199e6e8e35cd31bdc8391ebbb81e3952586793cfb5c38e2c65dcd104936fee,20.000000,arbitrum_sepolia
0.009,0.0010000000000000009,0x5f09f4633e3746637d725ba767d8cdacd36ad8cf,0xee4d1c7a04ab4190bcc30531d1345dfb665dd6d48a9ac1ee6c4cf2716dcef32b,2.990000,arbitrum_sepolia
0.009,0.0010000000000000009,0x5f09f4633e3746637d725ba767d8cdacd36ad8cf,0xfe0ff6f0e2ab0a8c7f0620b420465537847b04dccb57be247571544c6ffa1845,2.990000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xa641eac5b17921cfc3873a04ff464a148e8675f513011cf5b7f08607355f91d9,3.000000,arbitrum_sepolia
,,0x40916be240fb2243458be3c7ae43711b90c795fd,0xf493b894073d52c3609cfea236602999f7aa4ff0b3fa5c2ae3c65cb04d4da4aa,20.000000,arbitrum_sepolia
,,0xd79713b123f33b69dc12c6bae13d85f70ce162c7,0xeb8826463ee4e73c39541f75766843ea6889f537ad3747871615fa8485c3909b,40.000000,arbitrum_sepolia
,,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0x4c4e76ee6316063832bd6301acfc421ac843b30f1cf738c4794fbcccd9e110de,0.010000,arbitrum_sepolia
0.0009,0.00010000000000000005,0xfbc171f350319a2e06a80ae640cdd76df084d1ef,0x42b65f373524158800bde763e637a1d264439298d4167fa4130c36a3f4431813,0.010000,arbitrum_sepolia
,,0xd79713b123f33b69dc12c6bae13d85f70ce162c7,0xc81edde681a151e614032a22dcf44f7847f4745e2d6effad425fae8dfcde5691,50.000000,arbitrum_sepolia
,,0xd79713b123f33b69dc12c6bae13d85f70ce162c7,0x6f046fa2f7e1d89d84fe22e380c7a5750dc065f6d5df7b58dff725624127adab,35.565537,arbitrum_sepolia
,,0x722ce05966faca54965bc93f4c5c5d806c22bb1a,0xc0f99b5ff1d57a3565987213a98511e3b76ffebd3fa2676003314fe70692065b,1700.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x519dd8136816db1da85df923e9e6e9d3de3c3c5551f4d0b1f88df3eb4a551351,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xe23a28dfb68a3486db6f3eb078554ee6608710c5f716699cb84b2706e17ca57e,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0xc76014b023e4334f693a7dcd3a19b8980b9472c6cabfd4fdcefe47d4021b5757,3.000000,arbitrum_sepolia
,,0x83dbbfe79322c9ff8ab0c85813527df4c1f4dcc2,0x8a734f6368e51b60fc94adf66bdbbb57bb03cb6db6c29ca75f6529281f630da9,1.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x04c7f207ddb054bbb7d00a0b792e802d71c742eda87796d13cd264360a48cabb,3.000000,arbitrum_sepolia
,,0x67df4bc369de8686e0fa53f7e1c3c6fd371ae13c,0x835391f1a9d3c5dfc6dd243ab9660b9da491dd0f217132b33b1e032e4306b03a,3.000000,arbitrum_sepolia
