block_timestamp,source_tx_hash,blockchain,destination_chain,source_amount_numeric,bridge_kit_fee_total,bridge_kit_fee_circle_collected,bridge_kit_fee_dev_collected
2026-02-26 16:55:27+00:00,0x2c2efc971fb9b62ecc859041bd1207923a0dca58977af4d63b010b903f33ef6b,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-26 16:55:07+00:00,0x143e62e81dd7999eb6f224b3684f39e84c35bea0470a7c1829eb4544fac41de5,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-26 16:54:47+00:00,0x30cf523e952d6a005af8b7a57fa3812747497a03bf667dd778929086a60b5646,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-26 16:54:29+00:00,0x1491641c635a8b4cc0185527e88eb842e0ca350e79896bc91f7b7c70f0889cd8,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-26 16:54:15+00:00,0x6d26c18ec947426bbfc6e5ba06861d964afa0238da31b8ef2e89b6227ecd3de3,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-26 16:53:53+00:00,0x3debad73345a12e4f7631a2407a0f2db23f6b3cf2a1ae05d84391285690b74fe,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-26 16:40:31+00:00,0xba627d2ae1ec9f7d78dd9a171b41d42cf8bed22cdde8cbcb9ece9e36d5d387d7,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:43:29+00:00,0x5e25e8a8f36f632bc4da697150f7d4702054b65d9a519106097a7fa3ed8db7d0,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:42:39+00:00,0x55dd73cb4c766fe68bd64b26056beca60d8e4a86f2b363b2a7e46b435719c872,BASE,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:39:16+00:00,0x91c152d83bc2811e4f005e8ab404b945c11bc17afae0f37dee0f27ed8aa1bb3d,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:38:27+00:00,0xd18bfd0d9bbc304da74135e1e1f0b9d79557671680454462c3c9e6e70b1c3d80,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:37:39+00:00,0xe22304a1d39fcd825a745da6ee5626414669ceec8cca87ef4941b5c35d7af256,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:33:46+00:00,0x809c5867f7d39201546991f1cc18c50f8e53340747f058ef35516f5745183238,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:33:06+00:00,0x8c6abcd3d0f787e15d6819953e02415979c0ca3991d4bcf86f6d7c4e2a8dc4c4,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:32:25+00:00,0xf6910acffafd48414ee65796d90824fc070746328408bd5b2674c34d58aa8995,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:27:30+00:00,0x4ea71661f8a79a173ba3fa3b252cad171a1b26c9ae69e290a5d4366291ee2cc1,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:22:32+00:00,0x0f7d5be39589383e20863fe3f6125de53ffa9a946618197ce3da11173c4c1141,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:21:42+00:00,0xddd380dafd8c3c98d3b610276c693b2dbce5c99de5c18f189cd8d41cc555816f,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:16:32+00:00,0x9d2d48ca90dd58c25ffb919c5bce5292a0cee51944115927547c6d2b498b314f,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:05:43+00:00,0x5963df0d5382a768de336a8c0930ecf6b104dd56f7050b011f0a1afadef0de8e,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:03:58+00:00,0x10e3701763c976235c606ae51612008f66b0faeb9747e9ba12cae695fee91cc4,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 22:03:06+00:00,0xe8dd7a5d1709d3351a9d5c1041dfa5410acb696a0acf9c89c983d1e48927d941,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 21:54:41+00:00,0x60e3dca000036c144bf1e1e8a5b5ec268c529f3baf75d921b086f74134dec917,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 21:48:45+00:00,0x5f7250ac6a2f5f42ab021d39260b7691ab51ccd3259bcf0ae06742dc8488e1ce,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 21:37:17+00:00,0xb897f59368e16ff3f9242bfcf250e98d8866773d40ea8c7d33f8b5bbda2538d1,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 21:26:17+00:00,0x6bcf7ea9715453746fc916d40405b01b6ce4340348b832a0617ee536d80b4e02,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 21:15:18+00:00,0xbbe0765bfa0d96424dfeccbcce00e7f1c769fb6b0a710ccf1c92ee3d8decb4b8,AVAX,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 21:04:45+00:00,0x3d47c6cd11484f9b62aac62ec4a59b60cab674941c691efaaaf5427d15eb9aa3,ARB,OP,8.900000,0E-38,0E-38,0E-38
2026-02-24 20:58:37+00:00,0x5f7fac0ef5cee3d4cc82f039cec1d1f975f83fc8370c4433d601ef5c7716ec9d,AVAX,OP,8.900000,0E-38,0E-38,0E-38
