blockchain,wallet_address,is_circle_wallet,# of Transactions,Circle Collected Fee$,Transaction Volume$
arc_testnet,0x78c4135189a16a79de20e6730a182d000a51b75d,False,35,4.798861,45342.073929999984
arc_testnet,0x7954e9d2d740e4b5843c4b7fa64eee390e795f0a,False,34,0.046901,245.22798400000005
arc_testnet,0xf59b58fef67a9b389edd478f061ae0b27e3ce54b,False,33,0.063225,425.33898999999997
arc_testnet,0x3b82c1ea000f63ec2d496e51261a1a7edd719552,False,33,0.001019,50.833692000000006
arc_testnet,0xf2c90ec133f93ecaf179b85c9a739eab6dac8366,False,31,0.009174999999999999,102.006766
arc_testnet,0x721095b1647037a951c04ee7b28d399544b7b12e,False,31,0.09684000000000001,640.0358600000001
arc_testnet,0x8b3657e0a27bccd0d93c73de19ee1471923ea03d,False,31,0.000457,39.868516
arc_testnet,0xdd369e4aff8a3b20921203bc1397c07ee52190ac,False,29,0.0004159999999999999,39.141978
arc_testnet,0xfdcbfc1fd1b4814a1185a579cbce2647efb2ecbc,False,29,0.027449000000000008,119.543034
arc_testnet,0x33ee895e2e9a61250d5326c0b4a01a2d2d281fa0,False,28,0.092776,259.788174
arc_testnet,0xd91c176415f3acfe111188e3582809cd2d909bc9,False,27,0.083659,394.088602
arc_testnet,0xad4280ec80508f1b920b5b8a978c060fe38ce845,False,27,0.0034660000000000003,17.496313999999998
arc_testnet,0x24b0819f7fc996cad55576b84fa2f6123029627e,False,27,0.04487,439.81253200000003
arc_testnet,0x4c06621fe96acc5ca9f8ecd5ce134b392e3d1ad6,False,27,0.000412,37.534876999999994
arc_testnet,0x7d764bc0979be4beb11ad93ee663af62c618245f,False,27,0.013246999999999998,82.995426
arc_testnet,0xcea08045b019258b895d69afabb223d2f4af7185,False,27,1.4991059999999998,4402.226246000001
arc_testnet,0xf2822e44724fc97be734450c94dbb8c07f8d01d7,False,24,0.000157,23.784379
arc_testnet,0x6a3d026fdf57826e83dcc17e0f1dde3035ca5d14,False,23,0.019088,97.881512
arc_testnet,0x9d21e1f85def559353d56dbe53960ca6cb1b45e9,False,23,4.6000000000000014e-05,2.2995399999999995
arc_testnet,0x22d328aad00d52b7f89e8d7b730179a845a5cda0,False,23,0.02241800000000001,46.019627999999976
arc_testnet,0x0a0ea19a70f2d75ab17d61a32b7e2d4f0db035ce,False,23,0.08668300000000001,377.448752
arc_testnet,0xa8d8560707cf069189d35ae0f9fe8a91234aa177,False,23,4.6000000000000014e-05,2.2995399999999995
arc_testnet,0x4fd052c17c223fc9817f42093dd1cc5710a2dba1,False,23,0.029573000000000002,452.44106400000004
arc_testnet,0x5f09f4633e3746637d725ba767d8cdacd36ad8cf,False,23,0.046909,301.13699800000006
arc_testnet,0x73af7edbfd1a1904c17338373017c62b210aaa6d,False,22,0.006646,155.957844
arc_testnet,0x42ad62e8379781872c947f6b6b6642f7539d86a5,False,22,0.019139000000000003,95.98002199999999
arc_testnet,0x87d09f7d5edc558cff68852e839be6536b1ea3c1,False,22,0.055577,294.83035
arc_testnet,0x5071a5b09ff0e6ebc8c6ff26c6730e9f74e23fe4,False,20,0.024474000000000003,339.71201800000006
arc_testnet,0x0cd269016873f3d1f1dd1b69819982f2dd83e4b8,False,20,4e-05,2.17156
arc_testnet,0x5171b75af1d795352d9a6020ae67c0c440031ee2,False,20,0.074647,240.19912
arc_testnet,0x2ab4015e44453d016cfb4d2b813c40a0d81b517e,False,20,0.060472,237.630506
arc_testnet,0xf61a687724bfd47bfbb876062232ba30430428ea,False,20,0.025494,302.57728599999996
arc_testnet,0x63192debccf3ef5a01d7a63e3eac520b309625ee,False,20,0.41607800000000006,1984.7136999999998
arc_testnet,0x9f0162b62af4b188f7450473a58324a44ac60e72,False,19,0.0,0.18996200000000008
arc_testnet,0xae10a28980c4dad4e10f26c24a1c246cb9509b6c,False,19,3.800000000000001e-05,1.8996199999999994
arc_testnet,0x74f59a6c357d222e086ccc5f75f65ba365cafa8c,False,19,0.00048,45.98537400000001
arc_testnet,0xd82c90bd1141a23ea7921f40782e6db076ce6966,False,18,0.000376,42.898647999999994
